,ticker,title,category,date,provider,content_neu,content_pos,content_neg,title_neu,title_pos,title_neg
0,TSLA,Tesla  TSLA  Expected To Beat Earnings Estimates  Should You Buy ,opinion,2020-01-22,Zacks Investment Research,-3.3421006,3.3630052,-0.8107649,-6.1316714,9.234274,-7.225535
1,TSLA,What s The Right Valuation Multiple For Tesla ,opinion,2020-01-22,Zacks Investment Research,-2.8084784,2.3428414,0.41784555,5.341782,-6.214518,-3.5427375
2,TSLA,Tesla  NIO And The Electric Boogie,opinion,2020-01-22,Zacks Investment Research,2.9709287,-2.8913617,-2.498408,5.3730955,-6.8700004,-2.2446456
3,TSLA,Toyota  TM  Recalls 3 4M Vehicles Worldwide Over Airbag Defect,opinion,2020-01-23,Zacks Investment Research,-1.2887653,-0.13935895,1.5086768,2.2236226,-0.30114248,-4.6061454
4,TSLA,Tesla  TSLA   Does This Rally Still Have Legs ,opinion,2020-01-20,Zacks Investment Research,-3.5198338,5.9132314,-4.032969,0.86928046,-4.2398877,1.4859046
5,TSLA,Tesla  TSLA  To Build 300 Hectare European Factory In Berlin,opinion,2020-01-20,Zacks Investment Research,-1.2262433,4.0657244,-5.5140486,6.6512084,-6.1432395,-4.3474016
6,TSLA,Cooper Standard  CPS  Diversifies On 3 New Fortrex Agreements,opinion,2020-01-20,Zacks Investment Research,-2.2414234,5.1734366,-5.8418303,4.750297,-3.8757284,-5.5471187
7,TSLA,2 ETF Areas To Gain From Michael Bloomberg s Campaign,opinion,2020-01-21,Zacks Investment Research,2.492707,-0.5148346,-4.6610575,0.18586151,0.54115385,-6.573598
8,TSLA,Can Tesla s Prolific Rally Continue,opinion,2020-01-21,Zacks Investment Research,1.3257446,-0.55038184,-3.7119737,0.0957108,-1.3492,-1.2949377
9,TSLA,5 High Flying Stocks To Buy Ahead Of Earnings Next Week,opinion,2020-01-21,Zacks Investment Research,-5.190951,10.22488,-6.959544,-3.1062236,6.0095124,-7.1258373
10,TSLA,Top Stock Picks For The Week Of Jan 20  2020,opinion,2020-01-20,Zacks Investment Research,-1.5562537,2.8104877,-4.1002088,-2.7099814,7.677427,-8.503893
11,TSLA,Is Tesla s Record Quarter Setting Up For a Record Year ,news,2020-01-30,247wallst,0.32370815,1.795574,-5.825692,-6.358942,11.320521,-7.032451
12,TSLA,NewsWatch  Tesla surges after earnings beat  vows to sell more than half a million vehicles this year,news,2020-01-30,MarketWatch,0.5795883,-1.9871317,-0.19847827,-7.510903,12.326694,-6.846525
13,TSLA,Wedbush sees Tesla cruising to 1M deliveries,news,2020-01-30,Seeking Alpha,1.213776,-1.0583937,-4.425381,5.5971484,-5.8915806,-3.1123044
14,TSLA,Lear  LEA  Earnings   Revenues Beat Estimates In Q4  Down Y Y,opinion,2020-01-30,Zacks Investment Research,-1.1458472,1.6486938,-3.1147053,-7.4570646,10.227497,-5.723123
15,TSLA,BorgWarner To Boost Propulsion System On  3 3B Delphi Buyout,opinion,2020-01-30,Zacks Investment Research,-0.8471907,3.1391442,-4.237411,-0.42314738,3.8987443,-6.2036066
16,TSLA,Stocks making the biggest moves after hours  Facebook  Microsoft  Tesla  PayPal and more,news,2020-01-30,CNBC,-5.5976667,6.210804,-1.603194,4.6134715,-4.3408327,-4.052286
17,TSLA,Autoliv  ALV  Q4 Earnings And Revenues Surpass Estimates,opinion,2020-01-30,Zacks Investment Research,-3.9166462,6.6381516,-5.9708405,-8.174661,12.048373,-5.8046203
18,TSLA,Trade Deficit  Boeing s Q4 Down On Up Pre Market,opinion,2020-01-30,Zacks Investment Research,-4.848403,5.4288006,-1.5333557,-1.5421048,-3.2684948,4.338999
19,TSLA,Forget Ford  F   Invest In These Auto Companies Instead  Revised ,opinion,2020-01-30,Zacks Investment Research,-5.6061063,1.758881,5.937421,7.557054,-8.013671,-2.805139
20,TSLA,Musk  Tesla to sell as many Cybertrucks  as we can make ,news,2020-01-30,MarketWatch,3.271669,-4.4022446,-1.5310351,3.2603981,-4.0081053,-3.110433
21,TSLA,Tesla extends profit run  promises record production  driving stock up 13 ,news,2020-01-30,Reuters,-5.467239,6.2690053,-1.6656177,-7.6319084,12.705325,-6.002272
22,TSLA,Asia Markets Likely To Remain Cautious On Heightened Virus Fears,opinion,2020-01-30,Jeffrey Halley,-2.7691703,1.5055082,1.3283617,-4.4633183,-3.1970615,10.44422
23,TSLA,Tesla  TSLA  Surpasses Q4 Earnings And Revenue Estimates,opinion,2020-01-30,Zacks Investment Research,-3.165218,5.794816,-4.346927,-7.3547435,10.899265,-5.6510944
24,TSLA,Microsoft  Facebook   Tesla All Better Than Expected,opinion,2020-01-30,Zacks Investment Research,-5.8846455,10.0022745,-6.0611773,-6.8955793,10.802802,-7.0747695
25,TSLA,One options trader bets big money on Tesla s stock cracking  800,news,2020-01-30,CNBC,1.3370304,-0.76604635,-5.0423903,1.771398,-1.5369569,-2.2020247
26,TSLA,U S  Stocks Rise After Fed With Earnings in Focus  Markets Wrap,news,2020-01-30,Bloomberg,-0.08652483,-0.61316234,-0.44439825,-0.0071665337,2.5639896,-6.8665953
27,TSLA,U S  Stocks Pare Gains  Treasuries Rally After Fed  Markets Wrap,news,2020-01-30,Bloomberg,-0.1465893,-1.2624601,0.65659297,-1.3958693,0.509416,-1.1828873
28,TSLA,General Motors To Invest  3B To Produce All Electric Vehicles,opinion,2020-01-27,Zacks Investment Research,-0.06431274,2.6494408,-4.8793364,6.7984166,-7.417727,-3.2152336
29,TSLA,Tesla set to report earnings after market close,news,2020-01-30,CNBC,0.124083236,-0.27675584,-2.3806527,6.4484286,-7.024274,-4.0611176
30,TSLA,5 Auto Stocks Poised To Beat Estimates This Earnings Season,opinion,2020-01-27,Zacks Investment Research,-5.1523914,6.0856504,-1.1841356,-7.2682266,13.056768,-7.5769296
