,Date,Open,High,Low,Close,Adj Close,Volume
0,2009-12-31,312.73272705078125,313.00299072265625,310.2903747558594,310.2903747558594,310.2903747558594,2438065
1,2010-01-04,314.03399658203125,315.0599670410156,312.42242431640625,313.67864990234375,313.67864990234375,3912135
2,2010-01-05,314.22418212890625,314.22418212890625,311.07110595703125,312.29730224609375,312.29730224609375,6009890
3,2010-01-06,312.84283447265625,313.23321533203125,303.4737548828125,304.4246826171875,304.4246826171875,7953549
4,2010-01-07,304.93017578125,305.2955322265625,296.61212158203125,297.33782958984375,297.33782958984375,12823614
5,2010-01-08,296.46697998046875,301.9172668457031,294.84039306640625,301.3016662597656,301.3016662597656,9440322
6,2010-01-11,302.2425842285156,302.5228271484375,297.30780029296875,300.8462219238281,300.8462219238281,14419636
7,2010-01-12,299.3297424316406,299.3697814941406,294.2848815917969,295.52606201171875,295.52606201171875,9697102
8,2010-01-13,288.5343017578125,294.47503662109375,287.22802734375,293.8294372558594,293.8294372558594,12985565
9,2010-01-14,292.1578063964844,297.38787841796875,291.6873474121094,295.21075439453125,295.21075439453125,8474928
10,2010-01-15,297.00250244140625,297.06756591796875,289.300048828125,290.281005859375,290.281005859375,10864868
11,2010-01-19,290.7814636230469,295.49603271484375,288.4241943359375,294.0946960449219,294.0946960449219,8625928
12,2010-01-20,292.8434753417969,293.2738952636719,287.9237060546875,290.4861755371094,290.4861755371094,6500697
13,2010-01-21,291.8875427246094,293.69354248046875,286.4027404785156,291.7724304199219,291.7724304199219,12603056
14,2010-01-22,282.6135559082031,285.5764465332031,267.6891174316406,275.2714538574219,275.2714538574219,13602126
15,2010-01-25,273.52978515625,275.20513916015625,268.0144348144531,270.2616271972656,270.2616271972656,8833464
16,2010-01-26,269.0704650878906,275.0662536621094,268.4048156738281,271.4727783203125,271.4727783203125,8705099
17,2010-01-27,270.3717041015625,274.09033203125,267.9143371582031,271.3126220703125,271.3126220703125,7923256
18,2010-01-28,272.538818359375,273.76495361328125,265.55706787109375,267.4038391113281,267.4038391113281,6455826
19,2010-01-29,269.5108947753906,270.757080078125,263.05963134765625,265.2287292480469,265.2287292480469,8274374
20,2010-02-01,266.8332824707031,268.1645812988281,265.40692138671875,266.7682189941406,266.7682189941406,4501680
21,2010-02-02,267.3137512207031,267.7391662597656,264.06060791015625,265.81732177734375,265.81732177734375,8184679
22,2010-02-03,264.60113525390625,271.3126220703125,264.37091064453125,270.6719970703125,270.6719970703125,5993972
23,2010-02-04,268.5649719238281,269.2606506347656,263.03460693359375,263.6441955566406,263.6441955566406,6758915
24,2010-02-05,264.00555419921875,267.0077209472656,261.4831237792969,265.90240478515625,265.90240478515625,6307983
25,2010-02-08,266.4504089355469,271.2625732421875,266.0225524902344,266.9934387207031,266.9934387207031,5385605
26,2010-02-09,269.8161926269531,271.02734375,267.7942199707031,268.4798889160156,268.4798889160156,5651893
27,2010-02-10,267.4588928222656,269.1555480957031,264.10064697265625,267.4814147949219,267.4814147949219,5346407
28,2010-02-11,266.3828430175781,270.5068359375,265.00653076171875,268.4598693847656,268.4598693847656,4817512
29,2010-02-12,266.7582092285156,268.8352355957031,265.50701904296875,266.8182678222656,266.8182678222656,4556327
30,2010-02-16,268.7601623535156,272.32861328125,267.4088439941406,270.9122314453125,270.9122314453125,7302572
